rules,support,confidence,coverage,lift,tp,sl,total,opt_risk,threshold,zero,pct_incr_from_zero_risk,
{},0.355963303,0.355963303,1,1,194,351,545,700,93800,53600,75%,
{Global Correct=0},0.190825688,0.39245283,0.486238532,1.102509239,104,161,265,800,79200,39600,100%,
{Global Correct=1},0.165137615,0.321428571,0.513761468,0.902982327,90,190,280,600,21000,10500,100%,
"{Local Correct=0,Global Correct=0}",0.093577982,0.312883436,0.299082569,0.878976662,51,112,163,600,9300,4650,100%,
"{Local Correct=1,Global Correct=0}",0.097247706,0.519607843,0.187155963,1.459723064,53,49,102,1200,100200,50100,100%,
"{Local Correct=1,Global Correct=1}",0.073394495,0.444444444,0.165137615,1.248568156,40,50,90,1000,50000,25000,100%,
{Local Correct=1},0.170642202,0.484375,0.352293578,1.360744201,93,99,192,1100,146850,80100,83%,
"{Pair=AUDNZD,Global Correct=0}",0.062385321,0.5,0.124770642,1.404639175,34,34,68,1100,56100,30600,83%,
"{Pair=AUDNZD,Global Correct=1}",0.047706422,0.382352941,0.124770642,1.07413584,26,42,68,800,18400,9200,100%,
"{Pair=AUDNZD,Local Correct=0,Global Correct=0}",0.027522936,0.357142857,0.07706422,1.003313697,15,27,42,700,7350,4200,75%,
"{Pair=AUDNZD,Local Correct=0,Global Correct=1}",0.027522936,0.357142857,0.07706422,1.003313697,15,27,42,700,7350,4200,75%,
"{Pair=AUDNZD,Local Correct=0}",0.055045872,0.357142857,0.15412844,1.003313697,30,54,84,700,14700,8400,75%,
"{Pair=AUDNZD,Local Correct=1,Global Correct=0}",0.034862385,0.730769231,0.047706422,2.052934179,19,7,26,2200,89100,48600,83%,
"{Pair=AUDNZD,Local Correct=1,Global Correct=1}",0.020183486,0.423076923,0.047706422,1.188540841,11,15,26,900,11250,6250,80%,
"{Pair=AUDNZD,Local Correct=1}",0.055045872,0.576923077,0.095412844,1.62073751,30,22,52,1400,74200,42400,75%,
"{Pair=AUDNZD,Time=14}",0.018348624,0.714285714,0.025688073,2.006627393,10,4,14,2100,44100,23100,91%,
{Pair=AUDNZD},0.110091743,0.441176471,0.249541284,1.239387508,60,76,136,1000,74000,37000,100%,
"{Pair=EURCAD,Global Correct=0}",0.047706422,0.371428571,0.128440367,1.043446244,26,44,70,800,16800,8400,100%,
"{Pair=EURCAD,Local Correct=0,Global Correct=0}",0.033027523,0.346153846,0.095412844,0.972442506,18,34,52,700,7700,4400,75%,
"{Pair=EURCAD,Local Correct=1,Global Correct=1}",0.022018349,0.5,0.044036697,1.404639175,12,12,24,1100,19800,10800,83%,
"{Pair=EURCAD,Local Correct=1}",0.036697248,0.476190476,0.07706422,1.337751595,20,22,42,1100,30800,16800,83%,
{Pair=EURCAD},0.08440367,0.333333333,0.253211009,0.936426117,46,92,138,600,13800,6900,100%,
"{Pair=GBPJPY,Global Correct=0}",0.04587156,0.373134328,0.12293578,1.04823819,25,42,67,800,16400,8200,100%,
"{Pair=GBPJPY,Local Correct=1,Global Correct=0}",0.031192661,0.548387097,0.056880734,1.540571999,17,14,31,1300,37050,19950,86%,
"{Pair=GBPJPY,Local Correct=1}",0.04587156,0.490196078,0.093577982,1.377097231,25,26,51,1100,40150,21900,83%,
{Pair=GBPJPY},0.082568807,0.316901408,0.260550459,0.890264266,45,97,142,600,9300,4650,100%,
"{Pair=XAUUSD,Global Correct=0}",0.034862385,0.316666667,0.110091743,0.889604811,19,41,60,600,3900,1950,100%,
"{Pair=XAUUSD,Global Correct=1}",0.044036697,0.347826087,0.126605505,0.977140296,24,45,69,700,10500,6000,75%,
"{Pair=XAUUSD,Local Correct=0,Global Correct=0}",0.018348624,0.303030303,0.060550459,0.85129647,10,23,33,600,1200,600,100%,
"{Pair=XAUUSD,Local Correct=0,Global Correct=1}",0.027522936,0.306122449,0.089908257,0.859983169,15,34,49,600,2100,1050,100%,
"{Pair=XAUUSD,Local Correct=0}",0.04587156,0.304878049,0.150458716,0.856487302,25,57,82,600,3300,1650,100%,
"{Pair=XAUUSD,Local Correct=1}",0.033027523,0.382978723,0.086238532,1.075893836,18,29,47,800,12800,6400,100%,
"{Pair=XAUUSD,Time=5}",0.020183486,0.458333333,0.044036697,1.287585911,11,13,24,1000,14500,7250,100%,
{Pair=XAUUSD},0.078899083,0.333333333,0.236697248,0.936426117,43,86,129,600,12900,6450,100%,
"{Time=0,Global Correct=0}",0.018348624,0.384615385,0.047706422,1.080491673,10,16,26,800,7200,3600,100%,
{Time=0},0.034862385,0.333333333,0.104587156,0.936426117,19,38,57,600,5700,2850,100%,
{Time=1},0.020183486,0.305555556,0.066055046,0.858390607,11,25,36,600,1500,750,100%,
{Time=14},0.022018349,0.705882353,0.031192661,1.983020012,12,5,17,2100,52500,27500,91%,
"{Time=18,Global Correct=0}",0.022018349,0.545454545,0.040366972,1.532333646,12,10,22,1300,26000,14000,86%,
{Time=18},0.027522936,0.483870968,0.056880734,1.359328234,15,16,31,1100,23650,12900,83%,
{Time=2},0.018348624,0.357142857,0.051376147,1.003313697,10,18,28,700,4900,2800,75%,
{Time=23},0.022018349,0.307692308,0.071559633,0.864393339,12,27,39,600,1800,900,100%,
{Time=3},0.020183486,0.44,0.04587156,1.236082474,11,14,25,900,12150,6750,80%,
{Time=4},0.018348624,0.5,0.036697248,1.404639175,10,10,20,1100,16500,9000,83%,
"{Time=5,Global Correct=0}",0.023853211,0.448275862,0.053211009,1.259331674,13,16,29,1000,16500,8250,100%,
"{Time=5,Local Correct=0}",0.023853211,0.325,0.073394495,0.913015464,13,27,40,600,3300,1650,100%,
{Time=5},0.03853211,0.344262295,0.111926606,0.967128612,21,40,61,700,8750,3750,133%,
